INSTNM,Latitude,Longitude,ZIP,,,
CUNY School of Law,40.747929,-73.9439827,11101,,,
Purdue University Global-Davenport,41.5236437,-90.5776367,52807-2095,,,
University of South Carolina-Columbia,33.9937575,-81.0299186,29208,,,
Maryville University of Saint Louis,38.6461821,-90.5036535,63141-7299,,,
The University of Tampa,27.9468757,-82.4672266,33606-1490,,,
Trinity College,41.7477163,-72.6905038,06106-3100,,,
Wheaton College (Massachusetts),41.9672177,-71.1839593,02766-2322,,,
Virginia Commonwealth University,37.5526695,-77.4527359,23284-2512,,,
Research College of Nursing,39.0066204,-94.5569329,64132,,,
Indiana University-Purdue University-Indianapolis,39.773929,-86.1762606,46202-5143,,,
Brigham Young University-Idaho,43.8144658,-111.7833906,83460-1690,,,
Reading Hospital School of Health Sciences,40.3259311,-75.950322,19611,,,
Texas State University,29.888411,-97.938351,78666,,,
Gonzaga University,47.6658548,-117.4021153,99258-0001,,,
Palo Alto University,37.382454,-122.1874271,94304-1337,,,
Boise State University,43.6023364,-116.2009765,83725,,,
University of Vermont,44.4778528,-73.1964637,05405-0160,,,
Otis College of Art and Design,33.9566849,-118.4171575,90045-3505,,,
Georgia Southern University,32.4206845,-81.7869734,30460-8126,,,
Teachers College at Columbia University,40.8101571,-73.9604571,10027,,,
Sam Houston State University,30.7135813,-95.547276,77340,,,
University of North Dakota,47.922891,-97.0768014,58202-8193,,,
Towson University,39.3925121,-76.6126392,21252-0001,,,
Sonoma State University,38.3409222,-122.6730677,94928-3609,,,
Weill Medical College of Cornell University,40.7649151,-73.954897,10065,,,
Champlain College,44.4731165,-73.2041352,5401,,,
CUNY Hunter College,40.7678398,-73.9645291,10065,,,
Pacific College,33.6800303,-117.8732117,92626,,,
Weber State University,41.1913021,-111.9440252,84408-1001,,,
University of North Texas,33.207488,-97.1525862,76203-1277,,,
Columbia University in the City of New York,40.8075355,-73.9625727,10027,,,
Georgia State University,33.753068,-84.3852819,30303-3083,,,
Butler University,39.8399145,-86.1726021,46208,,,
